Type,Start Time (UTC),Start Time (local),End Time (UTC),End Time (local),Calories,Steps,Average Heart Rate
light_activity,2016-04-01 22:43:00,2016-04-01 18:43:00,2016-04-01 22:46:00,2016-04-01 18:46:00,4,45,83
inactive,2016-04-01 22:46:00,2016-04-01 18:46:00,2016-04-01 22:56:00,2016-04-01 18:56:00,13.5,0,84
light_activity,2016-04-01 22:56:00,2016-04-01 18:56:00,2016-04-01 22:59:00,2016-04-01 18:59:00,4.3,17,89
inactive,2016-04-01 22:59:00,2016-04-01 18:59:00,2016-04-01 23:02:00,2016-04-01 19:02:00,4.4,0,90
light_activity,2016-04-01 23:02:00,2016-04-01 19:02:00,2016-04-01 23:03:00,2016-04-01 19:03:00,1.3,7,84
inactive,2016-04-01 23:03:00,2016-04-01 19:03:00,2016-04-01 23:13:00,2016-04-01 19:13:00,11.2,0,77
light_activity,2016-04-01 23:13:00,2016-04-01 19:13:00,2016-04-01 23:17:00,2016-04-01 19:17:00,6.2,44,87
inactive,2016-04-01 23:17:00,2016-04-01 19:17:00,2016-04-01 23:28:00,2016-04-01 19:28:00,12.2,0,75
light_activity,2016-04-01 23:28:00,2016-04-01 19:28:00,2016-04-01 23:39:00,2016-04-01 19:39:00,17,243,86
inactive,2016-04-01 23:39:00,2016-04-01 19:39:00,2016-04-01 23:42:00,2016-04-01 19:42:00,3.8,0,85
light_activity,2016-04-01 23:42:00,2016-04-01 19:42:00,2016-04-01 23:47:00,2016-04-01 19:47:00,6.2,25,83
inactive,2016-04-01 23:47:00,2016-04-01 19:47:00,2016-04-01 23:50:00,2016-04-01 19:50:00,4.6,0,93
light_activity,2016-04-01 23:50:00,2016-04-01 19:50:00,2016-04-01 23:56:00,2016-04-01 19:56:00,12.2,84,91
inactive,2016-04-01 23:56:00,2016-04-01 19:56:00,2016-04-02 00:01:00,2016-04-01 20:01:00,5.5,0,74
light_activity,2016-04-02 00:01:00,2016-04-01 20:01:00,2016-04-02 00:02:00,2016-04-01 20:02:00,1.2,29,79
inactive,2016-04-02 00:02:00,2016-04-01 20:02:00,2016-04-02 01:10:00,2016-04-01 21:10:00,73.7,0,77
light_activity,2016-04-02 01:10:00,2016-04-01 21:10:00,2016-04-02 01:12:00,2016-04-01 21:12:00,2.2,9,90
inactive,2016-04-02 01:12:00,2016-04-01 21:12:00,2016-04-02 01:39:00,2016-04-01 21:39:00,33.5,0,85
light_activity,2016-04-02 01:39:00,2016-04-01 21:39:00,2016-04-02 01:55:00,2016-04-01 21:55:00,32.5,622,95
inactive,2016-04-02 01:55:00,2016-04-01 21:55:00,2016-04-02 07:15:00,2016-04-02 03:15:00,346.9,0,78
light_activity,2016-04-02 07:15:00,2016-04-02 03:15:00,2016-04-02 07:18:00,2016-04-02 03:18:00,5.6,67,94
inactive,2016-04-02 07:18:00,2016-04-02 03:18:00,2016-04-02 08:39:00,2016-04-02 04:39:00,89.3,0,74
off_wrist,2016-04-02 08:39:00,2016-04-02 04:39:00,2016-04-02 08:57:00,2016-04-02 04:57:00,19.3,0,
light_activity,2016-04-02 08:57:00,2016-04-02 04:57:00,2016-04-02 09:01:00,2016-04-02 05:01:00,19.3,100,118
