Type,Start Time (UTC),Start Time (local),End Time (UTC),End Time (local),Calories,Steps,Average Heart Rate
inactive,2016-02-02 21:43:00,2016-02-02 13:43:00,2016-02-02 21:49:00,2016-02-02 13:49:00,7.4,0,73
light_activity,2016-02-02 21:49:00,2016-02-02 13:49:00,2016-02-02 21:57:00,2016-02-02 13:57:00,31.7,265,102
inactive,2016-02-02 21:57:00,2016-02-02 13:57:00,2016-02-02 22:01:00,2016-02-02 14:01:00,6.8,0,81
light_activity,2016-02-02 22:01:00,2016-02-02 14:01:00,2016-02-02 22:04:00,2016-02-02 14:04:00,6.3,80,93
inactive,2016-02-02 22:04:00,2016-02-02 14:04:00,2016-02-02 22:07:00,2016-02-02 14:07:00,3.5,0,75
light_activity,2016-02-02 22:07:00,2016-02-02 14:07:00,2016-02-02 22:08:00,2016-02-02 14:08:00,1.3,7,73
inactive,2016-02-02 22:08:00,2016-02-02 14:08:00,2016-02-02 22:20:00,2016-02-02 14:20:00,16.7,0,79
light_activity,2016-02-02 22:20:00,2016-02-02 14:20:00,2016-02-02 22:23:00,2016-02-02 14:23:00,11,0,102
inactive,2016-02-02 22:23:00,2016-02-02 14:23:00,2016-02-02 22:28:00,2016-02-02 14:28:00,8.3,0,86
light_activity,2016-02-02 22:28:00,2016-02-02 14:28:00,2016-02-02 22:33:00,2016-02-02 14:33:00,19,0,96
moderate_activity,2016-02-02 22:33:00,2016-02-02 14:33:00,2016-02-02 22:43:00,2016-02-02 14:43:00,53.5,0,110
light_activity,2016-02-02 22:43:00,2016-02-02 14:43:00,2016-02-02 22:54:00,2016-02-02 14:54:00,50.1,9,106
inactive,2016-02-02 22:54:00,2016-02-02 14:54:00,2016-02-02 23:01:00,2016-02-02 15:01:00,9.4,0,79
light_activity,2016-02-02 23:01:00,2016-02-02 15:01:00,2016-02-02 23:09:00,2016-02-02 15:09:00,23.3,168,98
inactive,2016-02-02 23:09:00,2016-02-02 15:09:00,2016-02-02 23:44:00,2016-02-02 15:44:00,38.4,0,69
light_activity,2016-02-02 23:44:00,2016-02-02 15:44:00,2016-02-02 23:45:00,2016-02-02 15:45:00,1.1,8,71
inactive,2016-02-02 23:45:00,2016-02-02 15:45:00,2016-02-03 00:04:00,2016-02-02 16:04:00,20.3,0,67
light_activity,2016-02-03 00:04:00,2016-02-02 16:04:00,2016-02-03 00:10:00,2016-02-02 16:10:00,18.9,425,97
inactive,2016-02-03 00:10:00,2016-02-02 16:10:00,2016-02-03 00:15:00,2016-02-02 16:15:00,7,0,74
light_activity,2016-02-03 00:15:00,2016-02-02 16:15:00,2016-02-03 00:17:00,2016-02-02 16:17:00,8.3,0,106
inactive,2016-02-03 00:17:00,2016-02-02 16:17:00,2016-02-03 00:35:00,2016-02-02 16:35:00,25.5,0,81
light_activity,2016-02-03 00:35:00,2016-02-02 16:35:00,2016-02-03 00:41:00,2016-02-02 16:41:00,29.5,0,108
inactive,2016-02-03 00:41:00,2016-02-02 16:41:00,2016-02-03 00:44:00,2016-02-02 16:44:00,4.6,0,89
light_activity,2016-02-03 00:44:00,2016-02-02 16:44:00,2016-02-03 00:50:00,2016-02-02 16:50:00,21.5,0,101
inactive,2016-02-03 00:50:00,2016-02-02 16:50:00,2016-02-03 00:54:00,2016-02-02 16:54:00,6.2,0,85
light_activity,2016-02-03 00:54:00,2016-02-02 16:54:00,2016-02-03 00:55:00,2016-02-02 16:55:00,1.2,10,77
inactive,2016-02-03 00:55:00,2016-02-02 16:55:00,2016-02-03 01:03:00,2016-02-02 17:03:00,11.7,0,79
light_activity,2016-02-03 01:03:00,2016-02-02 17:03:00,2016-02-03 01:13:00,2016-02-02 17:13:00,44.8,575,105
inactive,2016-02-03 01:13:00,2016-02-02 17:13:00,2016-02-03 01:17:00,2016-02-02 17:17:00,6.6,0,87
light_activity,2016-02-03 01:17:00,2016-02-02 17:17:00,2016-02-03 01:25:00,2016-02-02 17:25:00,32.2,0,106
inactive,2016-02-03 01:25:00,2016-02-02 17:25:00,2016-02-03 01:34:00,2016-02-02 17:34:00,13.6,0,82
